ZIP,Total_Population,PM2.5,PM2.5_Pctl,Asthma,Asthma_Pctl,Cardiovascular_Disease,Cardiovascular_Disease_Pctl,Deaths_By_Stroke,Stroke_Pctl,Heart_Disease,Heart_Disease_Pctl
90001,4519.0,12.13,82.1,74.34,80.46,11.34,82.86,12.0,57.61,77.0,81.57
90002,4804.92,12.05,81.66,78.43,82.71,11.05,79.44,19.0,78.79,67.0,74.27
90003,4209.7,12.09,81.89,94.99,91.14,13.09,93.27,18.0,76.22,101.0,92.31
90004,3507.41,12.87,92.37,53.01,59.33,5.76,21.99,15.0,68.43,73.0,78.86
90005,3199.64,12.89,92.89,33.5,30.99,5.67,21.33,9.0,46.16,49.0,59.65
90006,3318.13,12.89,92.89,50.32,56.05,6.24,28.12,18.0,76.22,79.0,82.78
90007,3405.71,12.89,92.89,52.1,58.35,7.74,46.95,13.0,61.23,24.0,34.89
90008,4617.0,12.23,82.66,92.11,87.57,7.14,39.2,19.0,78.79,86.0,86.4
90010,3319.0,12.89,92.89,22.98,12.38,3.6,2.58,0.0,4.82,9.0,18.12
90011,4361.62,12.89,92.89,63.32,72.82,9.58,70.14,15.0,68.43,109.0,94.2
90012,3092.1,12.89,92.89,32.0,27.14,4.52,8.62,15.0,68.43,60.0,68.24
90013,5284.0,12.89,92.89,95.6,91.07,5.78,21.75,4.0,27.13,46.0,56.59
90015,3116.67,12.89,92.89,65.44,69.84,7.08,39.78,5.0,30.78,19.0,29.09
90016,3579.25,12.19,82.44,85.75,86.08,8.59,57.27,22.0,84.82,90.0,88.58
90017,3394.0,12.89,92.89,51.43,57.18,5.26,16.28,5.0,30.78,34.0,44.08
90018,3617.6,12.83,91.7,76.76,79.88,8.54,56.46,19.0,78.79,115.0,95.67
90019,4067.31,12.63,88.56,57.76,65.29,7.56,44.63,40.0,99.13,112.0,94.91
90020,3635.91,12.85,92.08,34.5,32.37,4.34,7.74,10.0,50.41,35.0,44.88
90021,2209.67,12.89,92.89,109.0,92.0,7.75,46.89,1.0,13.11,7.0,15.34
90022,4520.31,12.11,82.02,61.29,70.5,11.84,87.6,17.0,74.04,75.0,80.6
90023,4063.23,12.79,90.84,61.5,69.77,9.23,64.68,14.0,65.0,60.0,68.24
90024,4139.5,12.05,81.66,12.11,1.63,5.62,20.36,14.0,65.0,68.0,74.94
90025,4025.2,12.05,81.66,18.08,6.27,6.58,32.29,11.0,54.3,74.0,79.65
90026,3431.1,12.89,92.89,46.95,51.63,6.64,32.95,24.0,88.47,85.0,85.8
90027,2900.25,12.86,92.33,44.86,48.4,9.43,65.06,16.0,71.48,88.0,87.72
90028,3485.0,12.42,85.19,50.2,54.18,8.05,49.65,5.0,30.78,57.0,66.28
90029,3504.2,12.89,92.89,52.38,57.59,8.01,49.6,24.0,88.47,74.0,79.65
90031,4027.0,12.85,92.0,43.31,46.74,5.67,20.01,16.0,71.48,52.0,61.94
90032,3518.0,12.24,82.46,60.3,68.18,8.78,60.02,23.0,86.81,72.0,78.33
90033,3906.17,12.89,92.89,85.87,86.26,9.52,68.32,17.0,74.04,69.0,75.77
90034,3760.71,12.05,81.66,35.69,34.62,8.34,54.28,14.0,65.0,62.0,70.12
90035,3706.0,12.05,81.66,27.49,20.69,6.57,32.29,8.0,42.65,61.0,69.25
90036,3535.2,12.09,81.89,27.98,21.32,6.73,33.65,8.0,42.65,60.0,68.24
90037,4765.86,12.86,92.25,74.63,77.78,8.71,57.68,20.0,81.09,87.0,87.08
90038,3508.75,12.63,88.15,46.1,50.42,7.48,43.67,7.0,39.11,26.0,36.66
90039,3595.14,12.65,87.8,58.41,66.94,8.73,59.71,13.0,61.23,49.0,59.65
90040,4225.5,12.05,81.66,56.37,64.59,10.16,76.04,6.0,34.89,17.0,26.71
90041,3951.25,11.84,75.4,37.81,37.82,6.17,27.0,10.0,50.41,50.0,60.51
90042,3415.38,11.97,78.68,47.68,52.58,7.69,46.68,16.0,71.48,71.0,77.69
90043,3975.08,12.08,81.85,109.24,93.9,8.23,53.29,30.0,95.1,116.0,95.93
90044,4137.15,12.1,81.93,93.24,88.8,9.96,71.15,21.0,82.86,142.0,98.83
90045,3538.82,12.05,81.66,36.4,35.84,7.79,47.86,14.0,65.0,66.0,73.47
90046,3569.08,12.05,81.66,24.87,16.44,7.53,44.63,21.0,82.86,101.0,92.31
90047,4343.0,12.05,81.66,124.14,96.18,10.04,73.56,19.0,78.79,134.0,98.08
90048,2919.86,12.05,81.66,28.9,22.93,7.2,39.66,10.0,50.41,54.0,63.49
90049,2924.75,11.7,72.83,13.46,2.35,4.59,9.23,13.0,61.23,83.0,84.63
90056,6247.0,12.05,81.66,37.58,37.78,5.86,22.04,8.0,42.65,22.0,32.67
90057,3816.09,12.89,92.89,47.57,51.92,6.15,27.6,13.0,61.23,74.0,79.65
90058,2967.67,12.61,86.96,78.58,82.51,10.15,74.72,0.0,4.82,4.0,9.98
90059,4329.89,12.05,81.66,85.99,85.77,9.83,70.33,12.0,57.61,53.0,62.58
90061,4118.0,12.05,81.66,88.56,88.46,11.17,82.53,11.0,54.3,57.0,66.28
90062,5272.8,12.72,89.33,91.5,88.02,10.81,76.82,8.0,42.65,57.0,66.28
90063,3840.44,12.78,90.67,47.82,52.85,9.34,65.22,26.0,91.26,71.0,77.69
90064,3542.14,12.05,81.66,20.9,9.71,6.27,28.01,15.0,68.43,54.0,63.49
90065,3434.57,12.56,87.3,62.72,70.55,7.21,40.33,19.0,78.79,67.0,74.27
90066,3493.27,12.05,81.66,30.79,26.23,6.04,25.38,23.0,86.81,85.0,85.8
90067,2428.0,12.05,81.66,8.87,0.41,2.76,0.39,2.0,19.29,16.0,25.47
90068,3489.0,12.29,83.93,21.96,11.61,6.14,26.48,8.0,42.65,38.0,47.78
90069,3984.0,12.05,81.66,19.69,8.72,4.16,6.42,7.0,39.11,45.0,55.84
90071,2589.0,12.89,92.89,45.11,49.59,3.6,2.48,,,,
90077,4200.67,11.63,69.14,9.21,0.57,3.99,5.81,4.0,27.13,16.0,25.47
90094,6470.0,12.05,81.66,14.32,2.64,4.06,5.05,2.0,19.29,8.0,16.69
90201,4591.77,12.05,81.66,45.72,50.31,9.55,69.32,21.0,82.86,84.0,85.23
90210,4198.0,11.91,77.49,16.43,4.49,5.45,17.35,18.0,76.22,54.0,63.49
90211,4069.0,12.05,81.66,22.35,11.46,4.77,10.47,5.0,30.78,17.0,26.71
90212,5974.0,12.05,81.66,17.73,5.68,5.28,15.21,3.0,23.66,22.0,32.67
90220,4315.0,12.01,80.62,103.68,93.22,12.01,88.09,18.0,76.22,96.0,90.62
90221,4636.82,12.05,81.66,84.67,87.12,13.1,92.95,15.0,68.43,63.0,70.8
90222,5142.17,12.05,81.66,94.79,90.03,11.3,83.38,25.0,89.9,50.0,60.51
90230,3805.0,12.05,81.66,38.69,39.59,7.3,41.28,10.0,50.41,61.0,69.25
90232,4604.75,12.05,81.66,33.53,31.22,6.96,36.67,5.0,30.78,29.0,39.64
90240,6145.0,12.05,81.66,33.44,30.84,7.87,48.82,9.0,46.16,41.0,51.73
90241,4927.25,12.05,81.66,41.98,44.38,8.23,52.59,15.0,68.43,56.0,65.18
90242,4777.4,12.05,81.66,47.98,52.99,8.52,56.75,14.0,65.0,60.0,68.24
90245,2775.67,12.05,81.66,21.8,15.11,6.01,33.34,7.0,39.11,30.0,40.73
90247,4055.7,12.05,81.66,73.05,80.3,9.37,67.29,22.0,84.82,82.0,84.1
90248,2466.8,12.05,81.66,62.16,70.41,8.88,60.31,9.0,46.16,17.0,26.71
90249,4763.0,12.05,81.66,79.5,83.63,9.69,69.59,15.0,68.43,47.0,57.54
90250,5034.8,12.05,81.66,73.1,79.77,9.9,72.3,33.0,96.72,146.0,98.98
90254,3901.2,12.05,81.66,12.91,1.87,5.26,15.78,6.0,34.89,15.0,24.6
90255,3367.0,12.07,81.77,55.5,63.37,10.28,75.91,16.0,71.48,76.0,81.16
90260,5461.5,12.05,81.66,63.22,72.0,8.95,62.36,15.0,68.43,47.0,57.54
90262,6211.73,12.05,81.66,49.67,55.8,9.35,66.47,22.0,84.82,61.0,69.25
90265,3792.8,10.12,46.75,9.02,0.67,3.47,4.63,9.0,46.16,26.0,36.66
90266,4391.88,12.05,81.66,15.91,4.06,4.85,11.28,16.0,71.48,44.0,54.79
90270,3913.57,12.11,81.99,43.32,46.99,9.55,68.78,7.0,39.11,22.0,32.67
90272,3496.57,11.15,64.55,11.42,1.35,5.24,16.38,11.0,54.3,29.0,39.64
90274,3378.14,11.93,78.08,16.04,4.66,4.72,11.57,9.0,46.16,60.0,68.24
90275,4873.67,11.82,76.84,11.57,1.32,3.95,4.53,36.0,98.15,101.0,92.31
90277,4725.86,12.05,81.66,23.89,14.1,6.5,30.61,14.0,65.0,65.0,72.49
90278,5540.14,12.05,81.66,29.02,23.22,5.81,22.07,13.0,61.23,50.0,60.51
90280,4607.9,12.05,81.66,42.53,45.52,10.7,77.87,22.0,84.82,64.0,71.55
90290,7078.0,10.37,52.61,10.37,0.87,4.01,4.65,1.0,13.11,9.0,18.12
90291,3134.11,12.05,81.66,31.45,27.42,7.31,41.47,10.0,50.41,34.0,44.08
90292,5599.0,12.05,81.66,27.71,20.96,5.86,23.02,1.0,13.11,36.0,45.78
90293,4082.67,12.05,81.66,21.4,9.83,5.67,19.86,7.0,39.11,27.0,37.72
90301,4648.62,12.05,81.66,85.15,86.84,11.23,82.14,9.0,46.16,71.0,77.69
90302,4854.83,12.05,81.66,94.43,90.74,7.89,49.24,10.0,50.41,41.0,51.73
90303,3540.0,12.05,81.66,98.38,91.97,11.46,85.1,7.0,39.11,39.0,49.36
90304,4386.83,12.05,81.66,64.72,73.51,10.33,76.22,8.0,42.65,22.0,32.67
90305,2983.6,12.05,81.66,105.24,93.61,8.18,52.96,7.0,39.11,44.0,54.79
90401,4016.0,12.05,81.66,76.95,83.01,6.83,34.96,2.0,19.29,28.0,38.73
90402,5403.5,11.63,69.14,9.7,0.6,3.99,4.57,9.0,46.16,21.0,31.12
90403,4759.8,12.05,81.66,25.26,16.61,5.46,18.11,15.0,68.43,50.0,60.51
90404,4085.0,12.05,81.66,53.02,59.75,5.99,24.32,8.0,42.65,39.0,49.36
90405,5320.8,12.05,81.66,31.72,28.02,5.83,21.73,11.0,54.3,53.0,62.58
90501,5384.12,11.94,78.53,50.41,57.78,6.08,32.0,12.0,57.61,70.0,76.79
90502,6003.0,11.77,73.31,42.52,45.32,6.89,35.97,12.0,57.61,43.0,53.65
90503,4530.8,12.05,81.66,25.85,17.56,5.85,22.34,24.0,88.47,98.0,91.48
90504,4797.43,12.05,81.66,45.99,50.8,7.19,39.81,11.0,54.3,64.0,71.55
90505,4784.38,12.05,81.66,26.1,18.1,6.19,26.53,24.0,88.47,79.0,82.78
90506,5087.0,12.05,81.66,74.07,81.37,9.64,70.91,0.0,4.82,0.0,1.51
90601,4583.0,12.05,81.66,60.21,68.41,11.4,83.06,11.0,54.3,59.0,67.48
90602,3442.8,12.05,81.66,72.02,79.11,14.04,94.97,11.0,54.3,48.0,58.67
90603,4732.0,11.77,73.31,48.47,54.16,12.45,89.7,9.0,46.16,57.0,66.28
90604,4715.78,11.77,75.45,57.84,65.94,12.37,89.02,17.0,74.04,61.0,69.25
90605,4535.88,12.05,81.66,55.24,62.4,10.44,76.15,13.0,61.23,46.0,56.59
90606,4710.83,12.05,81.66,65.72,74.59,14.79,96.78,15.0,68.43,51.0,61.34
90620,6031.0,11.21,66.23,43.44,46.5,8.58,57.33,22.0,84.82,97.0,91.07
90621,6273.0,11.21,66.23,54.08,61.52,7.9,49.41,13.0,61.23,45.0,55.84
90623,4718.0,11.21,66.23,24.82,15.63,6.16,25.88,8.0,42.65,23.0,34.02
90630,4704.0,11.21,66.23,29.57,24.33,8.44,55.92,21.0,82.86,75.0,80.6
90631,4701.08,11.27,66.68,50.71,57.04,9.26,66.23,35.0,97.55,113.0,95.21
90638,4852.7,11.38,67.39,35.75,34.68,9.6,67.86,23.0,86.81,102.0,92.8
90640,4292.93,12.05,81.66,48.65,54.06,9.74,69.76,29.0,94.27,130.0,97.78
90650,5062.71,11.87,76.75,57.88,65.98,12.36,88.22,44.0,99.89,165.0,99.55
90660,4941.08,12.05,81.66,62.37,71.71,13.58,94.69,25.0,89.9,118.0,96.42
90670,3717.4,11.97,79.16,49.92,55.41,10.24,74.07,6.0,34.89,38.0,47.78
90680,5433.0,11.21,66.23,40.14,41.72,6.56,31.54,14.0,65.0,42.0,52.83
90701,5507.33,11.21,66.23,34.37,32.43,8.99,63.04,4.0,27.13,41.0,51.73
90703,4458.27,11.25,66.49,37.94,38.18,8.08,51.29,22.0,84.82,73.0,78.86
90704,2048.0,5.6,33.12,49.39,55.37,6.76,34.06,0.0,4.82,10.0,19.82
90706,4256.44,11.98,79.57,73.32,79.56,10.39,76.29,27.0,92.39,115.0,95.67
90710,3427.12,11.26,66.59,44.0,47.52,7.81,47.53,11.0,54.3,44.0,54.79
90712,4410.29,11.33,67.06,50.15,56.4,8.14,52.43,12.0,57.61,61.0,69.25
90713,4654.0,11.28,66.72,39.06,40.35,9.22,65.55,16.0,71.48,55.0,64.36
90715,4875.6,11.21,66.23,63.61,68.17,9.62,64.2,7.0,39.11,38.0,47.78
90716,5189.5,11.21,66.23,53.1,60.32,8.57,57.7,6.0,34.89,17.0,26.71
90717,4939.75,11.63,69.14,42.02,44.54,6.19,26.67,8.0,42.65,50.0,60.51
90720,3645.71,11.21,66.23,25.28,16.91,5.94,24.07,11.0,54.3,51.0,61.34
90723,4918.0,12.05,81.66,54.12,61.09,10.03,72.62,24.0,88.47,55.0,64.36
90731,3579.69,11.21,66.23,78.41,81.93,9.09,64.21,23.0,86.81,96.0,90.62
90732,3408.14,11.21,66.23,42.96,45.03,5.44,18.75,12.0,57.61,53.0,62.58
90740,3136.43,11.21,66.23,24.97,16.09,7.5,44.03,41.0,99.36,156.0,99.4
90742,1253.0,11.21,66.23,11.16,1.16,3.09,0.8,1.0,13.11,6.0,13.72
90744,3501.67,11.21,66.23,66.21,74.24,9.91,71.67,12.0,57.61,70.0,76.79
90745,4446.23,11.44,68.54,49.6,56.98,8.14,59.29,27.0,92.39,114.0,95.4
90746,4992.75,12.05,81.66,85.02,86.74,8.75,59.81,15.0,68.43,59.0,67.48
90747,5418.0,12.05,81.66,61.08,70.37,6.86,35.36,,,,
90755,3692.33,11.21,66.23,41.24,43.97,7.69,46.62,7.0,39.11,14.0,23.62
90802,4016.4,11.21,66.23,70.85,76.49,7.94,49.26,10.0,50.41,77.0,81.57
90803,3622.8,11.21,66.23,24.41,17.9,6.4,34.86,15.0,68.43,70.0,76.79
90804,4898.38,11.21,66.23,79.05,83.84,9.81,71.41,14.0,65.0,60.0,68.24
90805,4847.32,11.7,73.14,79.85,84.13,9.86,72.09,27.0,92.39,133.0,97.93
90806,4444.4,11.21,66.23,85.62,86.87,9.76,70.81,19.0,78.79,61.0,69.25
90807,3930.88,11.21,66.23,40.24,41.93,5.88,23.47,20.0,81.09,78.0,82.1
90808,4293.89,11.21,66.23,23.94,17.34,6.23,33.14,19.0,78.79,96.0,90.62
90810,3672.4,11.21,66.23,68.66,76.94,9.03,63.18,14.0,65.0,65.0,72.49
90813,4110.43,11.21,66.23,115.45,95.21,11.32,83.13,17.0,74.04,78.0,82.1
90814,5005.67,11.21,66.23,28.59,22.63,5.02,12.79,7.0,39.11,21.0,31.12
90815,3552.82,11.21,66.23,26.77,20.07,6.47,31.61,15.0,68.43,98.0,91.48
90840,1863.0,11.21,66.23,14.54,2.87,3.81,3.48,,,,
91001,5102.57,10.19,48.43,40.54,42.56,6.05,24.62,19.0,78.79,79.0,82.78
91006,4743.43,10.61,54.25,16.74,4.81,5.43,17.77,16.0,71.48,54.0,63.49
91007,4892.71,10.61,55.09,15.98,4.16,4.71,10.28,24.0,88.47,72.0,78.33
91008,1292.0,10.79,54.48,19.05,7.03,3.56,2.21,0.0,4.82,4.0,9.98
91010,5681.0,11.13,63.88,51.59,57.2,7.94,49.76,16.0,71.48,68.0,74.94
91011,3396.17,10.44,52.16,18.05,7.86,5.29,15.88,5.0,30.78,40.0,50.6
91016,4829.22,10.46,52.15,32.53,29.17,7.0,37.63,17.0,74.04,83.0,84.63
91020,6026.0,11.21,66.23,21.05,9.18,7.56,44.58,6.0,34.89,20.0,30.11
91024,5458.5,10.16,47.74,17.31,5.22,5.24,15.16,1.0,13.11,25.0,35.8
91030,5123.2,11.38,67.39,15.19,3.51,4.97,12.84,6.0,34.89,42.0,52.83
91040,4564.0,11.42,67.68,45.88,50.41,9.55,68.04,11.0,54.3,40.0,50.6
91042,3695.71,11.21,64.97,37.41,37.32,9.11,62.66,4.0,27.13,55.0,64.36
91101,4143.33,10.65,53.86,25.19,16.57,4.85,11.93,5.0,30.78,35.0,44.88
91103,4341.75,10.68,54.01,44.76,47.33,5.94,25.58,18.0,76.22,68.0,74.94
91104,4420.88,10.37,52.61,35.92,35.0,5.75,21.64,19.0,78.79,76.0,81.16
91105,3653.0,11.21,66.23,19.19,7.14,4.1,5.52,6.0,34.89,36.0,45.78
91106,4893.2,10.62,55.71,23.64,14.03,4.87,12.23,9.0,46.16,30.0,40.73
91107,3463.33,10.37,51.73,26.1,18.05,5.8,21.42,9.0,46.16,72.0,78.33
91108,6573.5,10.79,54.48,11.39,1.22,4.31,6.84,4.0,27.13,27.0,37.72
91201,4556.2,12.05,81.66,30.63,26.11,9.18,64.74,12.0,57.61,40.0,50.6
91202,3632.5,12.05,81.66,33.83,31.61,8.09,51.79,14.0,65.0,65.0,72.49
91203,4404.33,12.05,81.66,35.91,35.02,8.64,58.6,7.0,39.11,25.0,35.8
91204,4876.33,12.05,81.66,66.63,75.16,9.75,71.3,7.0,39.11,30.0,40.73
91205,4535.22,12.05,81.66,49.61,55.01,11.89,83.8,23.0,86.81,89.0,88.13
91206,4633.71,11.93,78.08,32.51,29.27,8.51,56.19,20.0,81.09,68.0,74.94
91207,6047.5,11.84,75.4,20.86,10.34,6.82,35.28,9.0,46.16,25.0,35.8
91208,7048.0,11.49,68.17,17.5,5.7,6.07,24.81,3.0,23.66,27.0,37.72
91214,5459.2,11.04,61.53,35.72,34.73,7.83,48.27,13.0,61.23,30.0,40.73
91301,4989.12,9.75,41.89,16.3,5.66,5.46,22.37,12.0,57.61,48.0,58.67
91302,6046.75,10.27,50.17,17.01,5.54,5.23,15.66,7.0,39.11,32.0,42.28
91303,4122.88,10.37,52.61,48.04,52.1,7.57,44.9,7.0,39.11,37.0,46.65
91304,3622.75,10.27,50.17,51.15,57.26,7.71,46.74,19.0,78.79,89.0,88.13
91306,4857.7,10.37,52.61,57.42,65.66,10.16,74.21,12.0,57.61,70.0,76.79
91307,4041.43,10.31,51.22,35.18,33.8,6.53,30.98,10.0,50.41,62.0,70.12
91311,3517.33,10.23,49.36,40.1,41.46,7.27,41.13,19.0,78.79,85.0,85.8
91316,4285.83,10.37,52.61,36.39,35.7,6.12,25.7,10.0,50.41,69.0,75.77
91320,4887.67,9.54,40.92,21.36,11.33,6.66,34.37,14.0,65.0,54.0,63.49
91321,5709.86,10.25,49.82,32.01,28.33,9.81,68.76,13.0,61.23,64.0,71.55
91324,4147.67,10.37,52.61,47.36,51.98,7.85,48.37,10.0,50.41,73.0,78.86
91325,4292.0,10.37,52.61,43.34,46.69,8.3,54.01,14.0,65.0,74.0,79.65
91326,3926.12,10.37,52.61,27.28,20.22,6.85,35.24,12.0,57.61,66.0,73.47
91330,2776.0,10.37,52.61,26.08,17.92,5.23,14.72,,,,
91331,4309.5,11.25,66.47,71.03,78.88,7.41,42.9,33.0,96.72,112.0,94.91
91335,4831.19,10.37,52.61,70.2,77.6,10.29,75.7,42.0,99.51,164.0,99.47
91340,5515.43,11.21,66.23,63.82,71.0,5.28,16.01,7.0,39.11,46.0,56.59
91342,3873.95,11.06,63.15,60.0,68.37,7.67,46.49,24.0,88.47,136.0,98.23
91343,3933.33,10.99,61.28,69.76,76.77,7.91,49.32,24.0,88.47,87.0,87.08
91344,3732.07,10.62,55.05,48.65,53.81,6.98,37.61,26.0,91.26,106.0,93.82
91345,3691.8,11.21,66.23,62.62,70.68,5.86,22.79,11.0,54.3,67.0,74.27
91350,3523.67,9.88,43.84,27.24,20.09,10.03,72.18,7.0,39.11,50.0,60.51
91351,4119.5,9.9,43.77,41.27,42.77,9.86,69.98,9.0,46.16,38.0,47.78
91352,3348.2,11.97,79.16,66.0,72.24,7.72,50.23,18.0,76.22,70.0,76.79
91354,4095.0,9.7,41.7,18.31,6.39,7.43,43.0,4.0,27.13,18.0,27.96
91355,4833.7,10.2,48.71,20.02,9.44,7.5,43.96,11.0,54.3,50.0,60.51
91356,3614.12,10.37,52.61,45.71,49.49,8.06,50.93,13.0,61.23,58.0,67.07
91360,4251.4,9.54,40.92,27.93,21.38,7.37,42.33,29.0,94.27,87.0,87.08
91361,4397.75,9.54,40.92,16.49,4.47,6.61,32.02,14.0,65.0,35.0,44.88
91362,4449.5,9.54,40.92,25.03,16.59,6.43,30.18,12.0,57.61,67.0,74.27
91364,4045.0,10.37,52.61,30.85,26.61,6.67,33.53,18.0,76.22,81.0,83.72
91367,3436.29,10.37,52.61,37.82,38.25,7.78,47.85,13.0,61.23,88.0,87.72
91371,2819.0,10.37,52.61,24.53,15.17,4.67,9.56,0.0,4.82,1.0,4.33
91377,3981.0,9.54,40.92,12.69,2.06,4.15,6.96,5.0,30.78,13.0,22.65
91381,6280.5,10.16,47.74,17.74,5.68,8.98,62.72,4.0,27.13,12.0,21.7
91384,4527.14,8.52,27.25,24.48,15.61,9.86,70.86,10.0,50.41,26.0,36.66
91387,4072.44,9.49,38.58,34.45,32.65,9.07,63.39,9.0,46.16,42.0,52.83
91390,3242.78,8.7,28.54,18.0,7.49,8.1,51.55,6.0,34.89,25.0,35.8
91401,3779.3,11.34,67.1,54.22,61.08,12.71,88.72,14.0,65.0,64.0,71.55
91402,3955.22,11.21,66.23,84.13,85.22,9.34,65.7,23.0,86.81,69.0,75.77
91403,3888.6,11.21,66.23,31.12,27.28,10.32,70.63,11.0,54.3,44.0,54.79
91405,4233.17,11.21,66.23,82.41,81.67,12.03,84.49,10.0,50.41,78.0,82.1
91406,3360.18,10.77,57.28,63.17,69.27,9.02,61.44,8.0,42.65,80.0,83.35
91411,3977.17,11.21,66.23,52.79,58.2,9.85,67.81,11.0,54.3,38.0,47.78
91423,3750.0,11.52,69.61,25.63,18.24,8.1,51.95,6.0,34.89,54.0,63.49
91436,4641.5,11.0,60.36,21.11,10.34,5.68,21.08,1.0,13.11,38.0,47.78
91501,5433.33,12.05,81.66,31.16,26.85,6.06,26.99,12.0,57.61,32.0,42.28
91502,4285.0,12.13,82.13,34.44,32.27,6.28,28.3,5.0,30.78,22.0,32.67
91504,3588.4,12.05,81.66,36.68,36.36,6.4,29.13,9.0,46.16,65.0,72.49
91505,3498.67,12.05,81.66,32.95,32.98,5.67,26.48,9.0,46.16,67.0,74.27
91506,5972.0,12.19,82.44,41.94,44.76,6.31,27.86,13.0,61.23,38.0,47.78
91601,3628.9,12.05,81.66,50.91,57.08,8.01,50.6,12.0,57.61,38.0,47.78
91602,3741.17,12.05,81.66,32.7,29.46,6.04,24.58,3.0,23.66,27.0,37.72
91604,4500.0,12.05,81.66,22.26,11.93,6.62,32.74,13.0,61.23,50.0,60.51
91605,3977.46,11.92,78.55,66.7,74.12,11.56,83.58,21.0,82.86,91.0,89.07
91606,3714.25,12.02,80.62,56.51,63.2,10.36,73.07,23.0,86.81,80.0,83.35
91607,3793.67,12.05,81.66,36.52,36.07,7.6,45.0,13.0,61.23,65.0,72.49
91608,0.0,12.05,81.66,0.0,0.0,0.0,0.0,0.0,4.82,1.0,4.33
91701,5046.0,12.78,90.66,28.39,22.2,8.33,54.52,21.0,82.86,93.0,89.79
91702,4118.62,11.18,65.33,61.42,69.6,8.56,57.4,8.0,42.65,68.0,74.94
91706,4466.35,11.23,66.4,57.45,65.33,9.79,70.13,26.0,91.26,85.0,85.8
91708,7571.0,13.1,93.26,22.84,12.29,6.44,29.42,1.0,13.11,3.0,8.21
91709,6215.18,12.7,88.84,26.07,17.95,7.95,49.8,16.0,71.48,63.0,70.8
91710,5515.62,12.89,92.89,46.88,51.55,11.67,83.77,32.0,96.31,117.0,96.19
91711,4670.12,12.26,83.12,34.8,33.24,7.67,46.12,22.0,84.82,91.0,89.07
91722,4604.75,11.21,66.23,41.48,43.83,7.55,44.32,12.0,57.61,50.0,60.51
91723,4881.67,11.21,66.23,50.0,54.51,7.27,40.99,10.0,50.41,39.0,49.36
91724,4905.86,11.33,67.06,44.28,47.01,7.41,43.34,12.0,57.61,42.0,52.83
91730,5531.17,12.89,92.89,42.57,45.15,10.37,74.24,17.0,74.04,92.0,89.45
91731,4518.12,11.32,66.96,44.57,48.42,7.53,44.05,8.0,42.65,40.0,50.6
91732,4616.31,11.53,71.43,59.02,66.57,7.61,45.39,14.0,65.0,63.0,70.8
91733,3804.0,12.01,80.41,52.59,59.6,8.49,56.99,12.0,57.61,64.0,71.55
